task_id,task_description,priority,mood,days_until_deadline,workload_hours,estimated_duration
557,UI/UX design,High,Happy,21,8.7,11.8
558,API development,Medium,Happy,14,5.3,7.3
559,Research,Low,Calm,4,4.9,9.2
560,Unit testing,Low,Calm,23,5.2,7.0
561,Code review,Medium,Tired,10,3.0,12.8
562,Research,Low,Motivated,20,6.3,6.5
563,Database migration,High,Happy,15,6.1,8.1
564,Unit testing,Medium,Tired,18,6.4,8.5
565,Deploy production,Medium,Happy,20,6.8,10.6
566,Research,Medium,Motivated,13,4.4,7.2
567,Database migration,High,Motivated,29,6.5,11.8
568,Design meeting,Low,Calm,8,6.9,7.5
569,Sprint planning,Medium,Tired,9,5.0,10.4
570,Performance optimization,Medium,Stressed,16,6.8,12.0
571,Design meeting,Low,Calm,19,6.2,9.6
572,Unit testing,High,Motivated,16,4.7,8.3
573,Deploy production,High,Calm,7,6.6,10.7
574,UI/UX design,Medium,Stressed,14,5.4,13.4
575,Research,High,Calm,28,7.4,9.6
576,Debugging,High,Motivated,14,5.5,12.6
577,Sprint planning,High,Stressed,25,3.4,15.0
578,Unit testing,High,Happy,27,6.5,10.7
579,Code review,Medium,Tired,4,6.5,12.5
580,Debugging,Medium,Motivated,26,3.8,6.1
581,Debugging,Medium,Happy,15,7.5,9.6
582,Debugging,High,Stressed,3,7.4,20.0
583,Bug fix,Low,Happy,5,4.3,8.1
584,Unit testing,High,Stressed,1,4.7,15.2
585,Sprint planning,High,Calm,3,5.7,13.8
586,Performance optimization,Low,Tired,15,4.5,10.2
587,Performance optimization,High,Tired,24,7.3,12.1
588,Unit testing,Low,Tired,27,6.3,8.3
589,Database migration,Low,Stressed,8,3.8,8.6
590,Bug fix,High,Motivated,29,4.4,9.6
591,Code review,Low,Calm,4,8.4,9.4
592,Debugging,High,Anxious,2,9.1,16.5
593,Debugging,High,Tired,29,7.1,11.6
594,Unit testing,Medium,Happy,24,5.6,8.4
595,Database migration,Low,Tired,24,5.1,8.7
596,Performance optimization,Low,Stressed,10,7.1,9.8
597,Performance optimization,Medium,Tired,4,6.2,13.4
598,Deploy production,Critical,Happy,3,2.8,13.3
599,Unit testing,Medium,Happy,2,8.1,13.0
600,Bug fix,Low,Motivated,25,8.7,6.6
601,Write documentation,Medium,Stressed,17,7.5,12.9
602,Bug fix,Medium,Motivated,23,3.8,8.9
603,Performance optimization,High,Stressed,21,4.7,15.6
604,Performance optimization,Low,Tired,24,2.3,8.6
605,Design meeting,High,Tired,20,9.2,15.4
606,Performance optimization,Medium,Calm,23,5.3,8.6
607,Code review,Critical,Stressed,13,10.7,18.7
608,API development,Low,Stressed,5,9.9,12.8
609,Unit testing,Medium,Happy,21,4.2,9.0
610,Research,Critical,Stressed,9,4.6,18.9
611,Bug fix,Low,Tired,25,6.9,9.6
612,API development,Critical,Anxious,29,2.5,14.7
613,Database migration,Medium,Motivated,25,5.1,9.4
614,Write documentation,Low,Motivated,28,4.9,5.2
615,Code review,Low,Motivated,22,9.7,6.1
616,Sprint planning,High,Tired,6,6.3,13.6
617,Client call,Low,Stressed,5,5.4,12.0
618,Bug fix,Medium,Anxious,25,4.7,12.8
619,API development,Low,Tired,10,7.8,8.1
620,Sprint planning,Medium,Calm,8,5.0,11.5
621,Write documentation,Low,Happy,7,5.9,7.5
622,Design meeting,High,Calm,7,4.7,8.7
623,Sprint planning,Critical,Calm,6,3.0,16.0
624,Code review,Critical,Motivated,21,4.0,12.7
625,Code review,High,Calm,29,5.0,12.0
626,Research,Low,Stressed,20,5.5,8.6
627,Design meeting,High,Anxious,3,5.6,12.7
628,Client call,Low,Happy,19,5.8,5.7
629,Unit testing,Low,Calm,22,5.0,8.8
630,Sprint planning,Low,Happy,15,8.7,6.5
631,Design meeting,Medium,Tired,4,7.9,14.2
632,Code review,High,Anxious,28,5.7,13.8
633,Code review,Medium,Stressed,12,6.5,10.0
634,API development,Medium,Motivated,6,5.3,9.2
635,Performance optimization,Low,Stressed,19,2.0,9.4
636,Client call,Critical,Anxious,4,6.0,18.4
637,Sprint planning,Medium,Motivated,15,6.6,11.4
638,Research,Medium,Motivated,9,2.8,6.2
639,Research,Low,Happy,5,7.0,7.0
640,Sprint planning,High,Anxious,13,5.4,13.5
641,Debugging,Medium,Tired,23,6.7,10.4
642,Write documentation,Low,Stressed,26,5.5,5.8
643,Research,Low,Motivated,18,8.5,10.1
644,Design meeting,Medium,Stressed,5,6.5,12.7
645,Write documentation,Medium,Motivated,25,8.0,9.9
646,Design meeting,Low,Happy,16,8.2,4.8
647,Database migration,Critical,Tired,27,3.8,15.5
648,Code review,Low,Calm,19,4.5,4.5
649,Performance optimization,Medium,Happy,14,6.9,7.3
650,API development,Critical,Stressed,25,5.3,17.1
651,Research,Medium,Happy,16,5.5,7.9
652,Performance optimization,Medium,Calm,27,8.6,9.2
653,Performance optimization,Low,Stressed,15,5.4,7.9
654,Performance optimization,Low,Calm,22,4.1,6.0
655,Debugging,Critical,Stressed,4,4.3,20.0
656,Write documentation,Medium,Stressed,7,10.4,15.1
657,Design meeting,High,Tired,16,5.6,13.8
658,UI/UX design,Low,Happy,24,3.3,6.7
659,Database migration,Low,Anxious,22,2.5,11.6
660,Bug fix,Low,Motivated,21,4.8,7.3
661,Performance optimization,Medium,Tired,22,5.6,12.1
662,Unit testing,Low,Calm,21,7.9,5.2
663,Write documentation,High,Motivated,8,7.7,9.4
664,Research,Medium,Happy,17,6.0,8.2
665,Client call,Critical,Happy,16,5.1,12.8
666,Research,Low,Stressed,27,6.7,8.8
667,API development,High,Motivated,23,2.5,8.7
668,Bug fix,High,Happy,10,10.0,8.9
669,UI/UX design,High,Calm,10,7.3,10.3
670,Unit testing,High,Anxious,27,7.7,14.0
671,Research,High,Motivated,2,3.9,17.0
672,UI/UX design,Medium,Calm,9,8.6,10.9
673,Bug fix,Low,Happy,17,5.1,7.0
674,Performance optimization,Low,Motivated,11,4.1,3.9
675,Unit testing,Critical,Calm,10,5.9,15.4
676,UI/UX design,Medium,Happy,22,5.9,8.1
677,API development,High,Happy,25,3.8,10.2
678,Design meeting,Medium,Anxious,17,4.2,10.3
679,Code review,Low,Tired,4,4.1,13.3
680,Design meeting,Low,Motivated,16,4.1,6.4
681,Bug fix,Medium,Motivated,20,5.2,8.8
682,Write documentation,Medium,Calm,15,3.2,5.7
683,Code review,Low,Calm,25,4.6,6.8
684,Database migration,Medium,Calm,27,8.1,11.3
685,API development,Low,Stressed,21,7.6,11.4
686,Database migration,Medium,Calm,5,3.9,7.5
687,Debugging,Low,Motivated,6,7.9,8.4
688,Unit testing,High,Tired,17,2.1,15.0
689,Sprint planning,Low,Motivated,1,10.9,11.5
690,Code review,Medium,Calm,25,8.6,10.2
691,Database migration,Low,Tired,19,4.9,11.4
692,Research,Low,Tired,4,6.8,11.1
693,Database migration,Low,Calm,17,3.2,7.8
694,UI/UX design,Medium,Tired,9,6.1,11.8
695,Design meeting,Medium,Stressed,24,5.6,13.1
696,UI/UX design,Low,Calm,2,4.3,11.4
697,Debugging,Medium,Happy,8,5.1,7.2
698,Code review,High,Stressed,15,4.9,13.3
699,Code review,High,Calm,7,3.7,9.5
700,Debugging,Low,Tired,27,4.3,6.4
701,Bug fix,Medium,Anxious,6,3.1,14.5
702,UI/UX design,Low,Tired,1,7.7,13.6
703,Deploy production,Low,Tired,15,4.1,10.6
704,Research,Critical,Calm,23,3.6,17.1
705,Client call,Low,Tired,26,7.7,9.6
706,Design meeting,Medium,Happy,7,6.7,6.4
707,Code review,Medium,Stressed,29,7.6,12.2
708,Bug fix,High,Stressed,25,7.8,13.6
709,Sprint planning,Medium,Calm,17,9.9,7.0
710,Research,Low,Happy,2,5.7,9.4
711,UI/UX design,Low,Happy,27,3.1,5.5
712,Design meeting,Medium,Stressed,9,6.5,11.3
713,Sprint planning,Low,Anxious,29,4.7,7.8
714,UI/UX design,Low,Stressed,9,4.1,7.9
715,Database migration,Low,Calm,13,6.2,7.5
716,Sprint planning,Low,Happy,6,7.7,11.3
717,Debugging,Low,Tired,6,4.3,12.8
718,Bug fix,Low,Stressed,20,8.5,11.7
719,Design meeting,Medium,Stressed,20,4.0,12.8
720,Performance optimization,Medium,Calm,21,5.5,8.9
721,Unit testing,High,Happy,3,6.8,9.7
722,Unit testing,Low,Happy,17,5.2,5.5
723,Design meeting,Low,Stressed,17,2.4,8.0
724,Sprint planning,Low,Happy,12,7.9,6.8
725,UI/UX design,Medium,Happy,16,4.8,9.8
726,Bug fix,High,Stressed,15,7.5,17.5
727,Client call,Low,Motivated,13,3.5,6.3
728,Unit testing,Critical,Calm,23,3.8,12.3
729,Bug fix,Low,Calm,1,7.7,11.6
730,Unit testing,Medium,Stressed,17,6.7,12.5
731,Database migration,High,Anxious,3,5.1,16.0
732,UI/UX design,High,Stressed,26,6.7,14.3
733,Database migration,High,Happy,15,4.1,9.9
734,Research,High,Tired,4,6.2,14.3
735,Unit testing,Low,Happy,4,6.3,7.8
736,Performance optimization,High,Stressed,18,5.3,14.8
737,Performance optimization,Low,Calm,17,4.3,3.8
738,Database migration,High,Motivated,19,6.1,10.2
739,Debugging,Medium,Calm,11,5.9,10.2
740,Performance optimization,High,Tired,20,5.1,15.5
741,Unit testing,Medium,Anxious,3,3.9,12.2
742,Design meeting,Medium,Happy,8,6.0,10.0
743,Database migration,Medium,Stressed,14,5.1,14.6
744,Research,High,Stressed,26,3.9,13.2
745,Client call,Low,Calm,1,6.1,10.4
746,Client call,Low,Calm,14,9.2,7.6
747,Write documentation,Low,Anxious,2,5.3,12.9
748,Sprint planning,Low,Tired,29,9.0,11.4
749,UI/UX design,High,Tired,23,10.2,12.9
750,Performance optimization,Low,Stressed,4,4.1,14.1
751,Performance optimization,Critical,Motivated,24,6.0,13.5
752,Sprint planning,Low,Anxious,27,10.2,8.1
753,Code review,Low,Motivated,29,5.8,7.4
754,Research,High,Happy,19,6.1,12.1
755,Deploy production,Medium,Tired,6,2.7,12.8
756,Database migration,Medium,Happy,25,4.9,8.6
757,Debugging,Medium,Stressed,1,7.1,19.4
758,Research,High,Happy,17,10.9,13.0
759,API development,Low,Tired,8,5.6,9.2
760,Performance optimization,Critical,Tired,19,2.7,15.9
761,UI/UX design,Critical,Happy,21,3.2,15.3
762,Write documentation,Medium,Stressed,1,5.9,17.4
763,Client call,Low,Calm,5,8.4,10.3
764,Performance optimization,Medium,Stressed,27,7.3,12.0
765,Write documentation,Low,Happy,16,6.9,6.3
766,Unit testing,Low,Calm,6,8.6,9.5
767,Research,Low,Motivated,8,4.6,6.0
768,Unit testing,Medium,Happy,13,6.0,7.3
769,Deploy production,High,Happy,16,5.0,10.4
770,Design meeting,High,Stressed,3,5.5,15.1
771,API development,High,Anxious,19,4.0,13.1
772,Research,Medium,Tired,12,5.3,7.9
773,Code review,Low,Tired,16,5.9,8.3
774,Deploy production,Low,Stressed,27,5.3,11.7
775,Bug fix,Critical,Calm,11,5.7,13.8
776,Code review,Low,Happy,10,6.8,7.2
777,Database migration,High,Tired,25,8.5,12.5
778,UI/UX design,Medium,Anxious,20,8.6,12.9
779,Research,Medium,Tired,4,7.5,13.1
780,Bug fix,High,Motivated,12,3.5,9.7
781,Bug fix,Medium,Tired,23,5.3,11.1
782,Deploy production,High,Happy,2,5.5,12.1
783,Sprint planning,Critical,Anxious,24,4.7,18.4
784,Design meeting,Medium,Happy,22,6.7,10.3
785,Research,Low,Calm,19,2.8,6.0
786,Sprint planning,Medium,Happy,25,9.4,9.7
787,Deploy production,Critical,Happy,5,8.4,17.8
788,Database migration,Low,Calm,8,7.0,7.3
789,Client call,Medium,Stressed,7,5.9,10.5
790,Performance optimization,Medium,Calm,14,8.5,12.1
791,Performance optimization,High,Calm,24,7.4,10.9
792,Design meeting,Low,Happy,23,8.2,5.7
793,Database migration,High,Happy,3,5.9,14.6
794,Debugging,Critical,Calm,18,9.6,16.8
795,Design meeting,Low,Stressed,16,8.3,11.0
796,Research,Low,Tired,23,7.0,7.9
797,Research,Critical,Tired,19,8.5,18.9
798,Write documentation,Low,Motivated,19,5.2,10.9
799,Sprint planning,High,Tired,18,3.7,14.1
800,Debugging,Medium,Calm,20,6.6,10.1
801,Performance optimization,Low,Tired,16,5.9,10.3
802,Bug fix,High,Stressed,8,5.6,13.6
803,Sprint planning,Medium,Stressed,28,8.4,12.2
804,API development,Medium,Motivated,1,6.3,12.2
805,Research,Low,Calm,17,6.5,6.4
806,UI/UX design,Medium,Motivated,12,5.3,8.0
807,Database migration,Low,Motivated,21,7.8,6.5
808,Code review,Low,Motivated,11,7.4,6.6
809,Design meeting,Critical,Anxious,5,7.7,19.1
810,Research,Low,Calm,27,5.0,7.4
811,Sprint planning,Medium,Stressed,12,8.6,12.8
812,Debugging,Low,Calm,17,9.7,8.2
813,UI/UX design,High,Stressed,6,7.7,18.8
814,Sprint planning,Low,Tired,1,4.4,13.0
815,Code review,Critical,Tired,5,4.4,20.0
816,UI/UX design,Medium,Tired,25,5.2,11.6
817,API development,Low,Stressed,28,4.9,9.3
818,Code review,Low,Happy,14,5.9,8.2
819,Deploy production,Low,Calm,5,7.3,9.3
820,Unit testing,Medium,Happy,22,6.6,4.7
821,Deploy production,Low,Motivated,24,6.4,6.8
822,Performance optimization,High,Stressed,27,5.5,13.7
823,Sprint planning,Medium,Happy,1,5.9,14.6
824,Research,Low,Happy,18,7.6,5.2
825,Research,Medium,Tired,16,2.0,9.9
826,Research,High,Tired,9,6.0,15.1
827,Unit testing,Low,Stressed,19,6.6,10.9
828,Deploy production,Low,Happy,22,7.6,6.3
829,Unit testing,Low,Calm,5,4.0,7.7
830,Client call,High,Stressed,27,3.9,14.3
831,Sprint planning,Medium,Tired,2,7.2,15.4
832,Unit testing,Medium,Tired,15,2.2,9.3
833,Bug fix,High,Stressed,7,8.7,13.7
834,Design meeting,High,Stressed,4,6.5,15.1
835,Design meeting,Medium,Anxious,1,9.1,14.3
836,Bug fix,High,Calm,13,3.8,12.2
837,UI/UX design,Low,Tired,20,5.1,10.2
838,Write documentation,Low,Happy,22,2.0,6.8
839,UI/UX design,Low,Calm,7,4.4,6.9
840,Code review,Low,Happy,15,5.6,5.8
841,Debugging,Medium,Calm,23,2.1,8.1
842,Code review,Critical,Anxious,14,5.2,18.6
843,Unit testing,Low,Stressed,23,2.0,6.7
844,Deploy production,Low,Happy,19,5.5,5.3
845,Deploy production,Medium,Happy,22,8.3,7.3
846,Design meeting,Critical,Stressed,29,5.9,20.0
847,Database migration,Low,Happy,24,9.3,6.1
848,UI/UX design,Medium,Happy,20,7.6,6.1
849,Client call,Low,Motivated,29,8.7,7.6
850,Sprint planning,Low,Calm,24,4.5,6.3
851,Performance optimization,Critical,Stressed,18,4.4,17.0
852,API development,Critical,Anxious,10,6.7,16.3
853,Deploy production,Low,Happy,9,2.8,4.5
854,Sprint planning,Critical,Anxious,25,6.9,18.4
855,API development,Medium,Stressed,8,5.4,12.4
856,Sprint planning,High,Motivated,26,8.7,10.9
857,Unit testing,Medium,Tired,29,7.4,9.8
858,API development,Medium,Motivated,10,8.2,8.9
859,Performance optimization,Medium,Anxious,17,4.5,11.3
860,Sprint planning,Medium,Stressed,2,8.1,17.1
861,Bug fix,Low,Anxious,6,8.9,12.0
862,Performance optimization,Low,Stressed,26,5.9,8.8
863,API development,Low,Stressed,5,4.5,8.3
864,Performance optimization,High,Stressed,28,4.6,16.6
865,Sprint planning,Low,Calm,9,8.5,5.7
866,Write documentation,Medium,Happy,5,11.4,8.3
867,Sprint planning,Critical,Calm,18,4.0,15.0
868,Sprint planning,Low,Calm,26,3.9,4.2
869,Unit testing,Medium,Motivated,20,7.8,7.9
870,UI/UX design,Medium,Motivated,9,4.5,9.2
871,Bug fix,High,Calm,17,8.0,14.3
872,Client call,Low,Stressed,27,6.9,11.0
873,Deploy production,Medium,Stressed,17,6.0,11.5
874,Code review,High,Happy,12,6.9,10.3
875,UI/UX design,Critical,Happy,7,6.8,11.6
876,Code review,Medium,Stressed,27,5.6,11.4
877,Unit testing,Medium,Stressed,3,2.5,12.8
878,Bug fix,Medium,Anxious,10,6.4,11.5
879,Research,High,Calm,2,9.1,18.7
880,Sprint planning,Medium,Stressed,25,2.8,8.7
881,Research,Low,Calm,3,4.1,8.2
882,Research,Critical,Happy,16,6.9,11.6
883,Debugging,Medium,Calm,2,6.1,12.5
884,Design meeting,Medium,Tired,28,6.8,10.1
885,Research,Low,Calm,24,4.6,4.7
886,Deploy production,Medium,Calm,10,8.3,11.0
887,Write documentation,Low,Anxious,6,6.1,11.6
888,Design meeting,Medium,Motivated,22,7.4,10.2
889,Unit testing,Low,Tired,26,6.6,8.5
890,UI/UX design,Medium,Calm,11,6.4,9.2
891,Write documentation,Critical,Tired,23,7.3,19.9
892,Performance optimization,Low,Stressed,7,6.4,10.3
893,API development,Critical,Stressed,27,3.6,18.9
894,Debugging,Medium,Happy,29,8.2,7.7
895,Write documentation,High,Calm,15,7.6,12.6
896,Client call,High,Calm,6,2.0,11.6
897,Research,Medium,Stressed,20,4.7,9.1
898,Unit testing,High,Anxious,27,8.1,13.6
899,Database migration,High,Anxious,9,2.3,11.8
900,API development,Medium,Tired,22,7.9,9.1
901,Code review,Low,Calm,20,5.7,7.4
902,Deploy production,Medium,Motivated,12,8.7,7.9
903,Code review,High,Happy,19,6.0,14.8
904,Write documentation,High,Motivated,20,4.6,8.2
905,Code review,High,Happy,3,6.6,10.5
906,Client call,Medium,Motivated,15,5.9,10.0
907,Unit testing,High,Stressed,2,4.4,17.7
908,Performance optimization,Low,Motivated,21,10.4,8.9
909,UI/UX design,Medium,Anxious,2,4.1,15.4
910,Deploy production,Low,Happy,22,2.0,4.5
911,Client call,Low,Calm,3,9.2,7.8
912,Client call,Low,Anxious,6,4.8,12.6
913,Code review,Low,Calm,15,5.4,5.1
914,Research,Medium,Motivated,27,5.3,9.4
915,Code review,Low,Calm,10,4.9,8.4
916,Write documentation,Medium,Stressed,9,4.5,11.7
917,UI/UX design,Low,Stressed,1,4.0,13.3
918,Design meeting,Low,Stressed,16,6.1,8.7
919,Code review,Low,Motivated,6,5.2,9.2
920,Unit testing,Low,Stressed,9,7.5,5.9
921,Database migration,Medium,Calm,27,7.0,10.5
922,Deploy production,Medium,Calm,4,4.1,11.0
923,Sprint planning,Medium,Calm,27,6.2,8.9
924,Code review,Medium,Motivated,28,5.2,8.9
925,Unit testing,Low,Anxious,2,4.0,10.7
926,Unit testing,High,Calm,29,7.4,7.9
927,Deploy production,Medium,Motivated,4,5.8,11.4
928,Design meeting,Medium,Motivated,1,5.2,14.5
929,Unit testing,Low,Calm,19,4.3,4.3
930,Database migration,Low,Anxious,26,3.9,7.2
931,Unit testing,Low,Stressed,25,10.0,12.1
932,Unit testing,Low,Happy,10,6.7,6.9
933,Unit testing,Medium,Motivated,21,3.8,12.7
934,Performance optimization,Medium,Calm,15,6.6,10.9
935,Performance optimization,Medium,Motivated,27,8.1,10.4
936,Design meeting,High,Motivated,22,6.3,9.6
937,Code review,High,Happy,19,8.7,11.5
938,Unit testing,High,Motivated,16,2.9,12.3
939,Debugging,Critical,Calm,21,2.0,14.2
940,UI/UX design,Low,Calm,27,6.5,7.1
941,Debugging,Low,Tired,24,6.6,9.5
942,Code review,Low,Anxious,22,2.0,7.4
943,Design meeting,Medium,Happy,4,4.8,10.4
944,Research,High,Calm,2,4.0,15.2
945,Research,Low,Tired,25,3.2,10.9
946,Bug fix,Critical,Tired,13,4.0,16.5
947,Debugging,Low,Tired,28,7.2,10.5
948,Code review,Critical,Happy,1,4.0,17.6
949,Code review,Low,Stressed,17,4.0,10.8
950,API development,Low,Stressed,13,2.8,9.2
951,Write documentation,Medium,Motivated,4,8.5,12.1
952,Sprint planning,Low,Stressed,7,6.9,11.5
953,API development,Low,Stressed,17,2.0,7.8
954,Database migration,Low,Anxious,9,4.0,10.5
955,Performance optimization,High,Happy,4,7.1,12.2
956,Performance optimization,Medium,Anxious,19,8.6,11.0
957,Write documentation,Low,Tired,1,7.7,12.5
958,Deploy production,Medium,Motivated,10,5.3,9.0
959,Deploy production,High,Stressed,4,2.1,15.4
960,Design meeting,Low,Happy,9,7.7,7.1
961,Client call,Medium,Tired,13,5.4,11.7
962,Write documentation,Low,Motivated,14,6.1,7.6
963,Sprint planning,Low,Tired,10,5.6,13.3
964,Code review,Medium,Happy,6,3.3,9.7
965,Deploy production,Low,Motivated,16,6.7,5.7
966,Sprint planning,Medium,Motivated,6,6.5,7.8
967,Unit testing,High,Tired,17,5.1,11.2
968,Debugging,Low,Motivated,10,6.9,8.7
969,Debugging,Medium,Motivated,18,3.3,9.2
970,Client call,Low,Tired,27,5.5,7.1
971,UI/UX design,Critical,Happy,22,6.1,17.9
972,Code review,Medium,Calm,18,2.5,9.0
973,Database migration,High,Happy,3,5.9,12.9
974,Unit testing,Medium,Calm,20,7.5,12.9
975,Unit testing,Low,Calm,27,5.4,9.7
976,Debugging,Medium,Happy,21,5.9,9.4
977,Write documentation,Critical,Stressed,25,7.1,19.7
978,Client call,Medium,Happy,28,5.2,9.4
979,Design meeting,High,Motivated,15,5.4,10.2
980,Database migration,High,Anxious,15,3.6,13.2
981,Deploy production,Low,Happy,4,6.0,9.1
982,Sprint planning,Low,Anxious,29,5.3,8.9
983,Write documentation,Medium,Calm,27,7.0,8.0
984,Deploy production,Medium,Stressed,9,7.1,12.0
985,Write documentation,High,Happy,27,7.6,9.0
986,Write documentation,Critical,Calm,26,5.0,15.1
987,Write documentation,Low,Motivated,19,2.0,3.2
988,Debugging,Low,Tired,24,7.5,10.0
989,Client call,High,Happy,28,6.9,7.9
990,Design meeting,Low,Happy,17,4.7,5.3
991,Write documentation,High,Calm,11,7.1,12.2
992,Bug fix,Medium,Stressed,25,3.1,12.8
993,UI/UX design,Medium,Stressed,9,8.1,13.6
994,Deploy production,Low,Stressed,10,5.3,10.5
995,Code review,Medium,Motivated,18,4.3,6.7
996,API development,Medium,Anxious,20,4.8,12.4
997,Sprint planning,Medium,Calm,13,5.5,7.5
998,Debugging,Low,Anxious,8,6.0,10.8
999,Database migration,High,Stressed,7,6.1,15.2
1000,Performance optimization,High,Calm,17,5.1,13.1
